Positionarray,Intensity,Time,Bleachtimepoint
17.228,1436.396,1819.0510467200002,
17.436,1456.675,1820.9421699200002,
17.643,1637.110,1822.83329312,
17.851,1473.366,1824.72441632,
18.058,1443.469,1826.61553952,
18.266,1395.632,1828.5066627200001,
18.473,1470.814,1830.3977859200002,
18.681,1299.656,1832.2889091200002,
18.889,1298.494,1834.18003232,
19.096,1213.261,1836.07115552,
19.304,1379.197,1837.96227872,
19.511,1426.282,1839.8534019200001,
19.719,1359.339,1841.7445251200002,
19.926,1291.357,1843.6356483200002,
20.134,1276.801,,
20.342,1299.746,,
20.549,1451.470,,
20.757,1273.353,,
20.964,1209.992,,
21.172,1418.114,,
21.379,1299.571,,
21.587,1481.687,,
21.794,1664.124,,
22.002,1709.976,,
22.210,1820.851,,
22.417,1814.655,,
22.625,2152.790,,
22.832,1871.685,,
23.040,1875.614,,
23.247,1850.948,,
23.455,1672.921,,
23.663,1780.056,,
23.870,1579.363,,
24.078,1543.969,,
24.285,1559.849,,
24.493,1347.004,,
24.700,1441.317,,
24.908,1365.104,,
25.116,1370.819,,
25.323,1600.658,,
25.531,1509.046,,
25.738,1412.303,,
25.946,1415.211,,
26.153,1427.643,,
26.361,1578.557,,
26.569,2059.059,,
26.776,2447.222,,
26.984,3031.049,,
27.191,3071.188,,
27.399,3290.417,,
27.606,3252.656,,
27.814,3302.857,,
28.021,3212.753,,
28.229,3075.061,,
28.437,2997.452,,
28.644,3246.679,,
28.852,3072.491,,
29.059,3033.738,,
29.267,2789.947,,
29.474,2648.870,,
29.682,2313.316,,
29.890,2207.775,,
30.097,2296.466,,
30.305,2392.115,,
30.512,2375.772,,
30.720,2181.139,,
30.927,2253.343,,
31.135,1997.718,,
31.343,1904.257,,
31.550,1821.302,,
31.758,1915.100,,
31.965,1930.834,,
32.173,1975.815,,
32.380,2150.046,,
32.588,2300.153,,
32.795,2042.678,,
33.003,2071.791,,
33.211,1985.252,,
33.418,1973.596,,
33.626,1653.233,,
33.833,1793.991,,
34.041,1776.633,,
34.248,1797.021,,
34.456,2048.857,,
34.664,2169.420,,
34.871,2243.699,,
35.079,1906.561,,
35.286,1931.342,,
35.494,1880.813,,
35.701,1916.436,,
35.909,2072.251,,
36.117,2187.867,,
36.324,2142.214,,
36.532,2008.465,,
36.739,2018.568,,
36.947,1928.165,,
37.154,1754.672,,
37.362,1727.202,,
37.570,1949.660,,
37.777,2068.017,,
37.985,2329.556,,
38.192,2181.606,,
38.400,2296.398,,
38.607,2357.485,,
38.815,2468.410,,
39.022,2438.699,,
39.230,2699.523,,
39.438,2327.360,,
39.645,2430.185,,
39.853,2271.793,,
40.060,2422.236,,
40.268,2652.102,,
40.475,2803.622,,
40.683,2829.383,,
40.891,2964.572,,
41.098,2682.218,,
41.306,2714.712,,
41.513,2521.020,,
41.721,2576.630,,
41.928,2431.756,,
42.136,2435.491,,
42.344,2577.891,,
42.551,2684.904,,
42.759,2723.869,,
42.966,2530.795,,
43.174,2617.739,,
43.381,2622.343,,
43.589,2401.236,,
43.797,2509.022,,
44.004,2522.760,,
44.212,2310.952,,
44.419,2277.302,,
44.627,2203.344,,
44.834,2434.158,,
45.042,2312.218,,
45.249,2150.073,,
45.457,2200.225,,
45.665,2201.002,,
45.872,1951.221,,
46.080,2152.708,,
46.287,2080.912,,
46.495,2174.722,,
46.702,1962.889,,
46.910,2030.485,,
47.118,2116.385,,
