Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,325.128,25620.549704808003,25626.317360132,140
0.208,399.827,25621.05857956,,315
0.415,318.411,25621.562149992,,
0.623,406.864,25622.060809320003,,
0.830,483.741,25622.564379752002,,
1.038,470.905,25623.063039080003,,
1.245,360.880,25623.561694312,,
1.453,619.106,25624.06035364,,
1.661,688.436,25624.563924072,,
1.868,515.429,25625.062583400002,,
2.076,427.973,25626.317364328002,,
2.283,492.861,25626.828692584,,
2.491,455.584,25627.327351912,,
2.698,561.887,25627.830922344,,
2.906,686.793,25628.328438888002,,
3.113,452.749,25628.83200932,,
3.321,327.300,25629.329525864003,,
3.529,506.890,25629.833096296003,,
3.736,744.009,25630.33061284,,
3.944,716.866,25630.829268072,,
4.151,647.470,25631.3279274,,
4.359,499.451,25631.830355048,,
4.566,790.202,25632.329014376002,,
4.774,559.526,25632.831442024002,,
4.982,402.498,25633.330101352003,,
5.189,491.867,25633.832529000003,,
5.397,508.941,25634.326273128,,
5.604,613.818,25634.82984356,,
5.812,339.388,25635.328502888002,,
6.019,485.135,25635.83207332,,
6.227,543.050,25636.330732648003,,
6.435,855.987,25636.833160296002,,
6.642,922.424,25637.326904424,,
6.850,808.355,25637.830474856,,
7.057,753.935,25638.329134184,,
7.265,852.374,25638.832704616,,
7.472,895.331,25639.326448744003,,
7.680,1021.128,25639.830019176003,,
7.888,949.530,25640.32753572,,
8.095,955.104,25640.831106152,,
8.303,894.892,25641.328622696,,
8.510,1198.314,25641.832193128,,
8.718,1076.451,25642.330852456,,
8.925,875.007,25642.829507688002,,
9.133,910.878,25643.327024232003,,
9.340,757.166,25643.830594664003,,
9.548,660.467,25644.328111208,,
9.756,751.202,25644.83168164,,
9.963,633.973,25645.329198184,,
10.171,577.702,25645.832768616,,
10.378,693.939,25646.330285160002,,
10.586,636.233,25646.828940392003,,
10.793,698.826,25647.32759972,,
11.001,539.617,25647.830027368003,,
11.209,531.005,25648.328686696,,
11.416,574.394,25648.831114344,,
11.624,670.653,25649.329773672,,
11.831,876.586,25649.83220132,,
12.039,851.297,25650.330860648002,,
12.246,737.073,25650.833288296002,,
12.454,786.505,25651.327032424,,
12.662,568.818,25651.830602856,,
12.869,655.254,25652.329262184,,
13.077,894.258,25652.832832616,,
13.284,702.357,25653.326576744003,,
13.492,825.649,25653.830147176002,,
13.699,841.485,25654.328806504003,,
13.907,853.099,25654.832376936003,,
14.115,952.611,25655.326121064,,
14.322,673.572,25655.829691496,,
14.530,706.643,25656.327208040002,,
14.737,667.601,25656.830778472002,,
14.945,777.497,25657.328295016003,,
15.152,474.414,25657.831865448003,,
15.360,825.816,25658.330524776,,
15.567,775.060,25658.829180008,,
15.775,467.293,25659.326696552,,
15.983,832.772,25659.830266984,,
16.190,386.609,25660.327783528002,,
16.398,484.000,25660.831353960002,,
16.605,431.098,25661.328870504003,,
16.813,428.739,25661.832440936003,,
17.020,461.210,25662.32995748,,
17.228,543.653,25662.828612712,,
17.436,546.147,25663.327272040002,,
17.643,687.667,25663.829699688,,
17.851,624.933,25664.328359016003,,
18.058,546.889,25664.830786664003,,
18.266,839.640,25665.329445992,,
18.473,555.448,25665.831873640003,,
18.681,609.047,25666.330532968,,
18.889,486.880,25666.832960616,,
19.096,550.850,25667.326704744002,,
19.304,635.314,25667.830275176002,,
19.511,792.188,25668.328934504003,,
19.719,685.626,25668.832504936003,,
19.926,562.979,25669.326249064,,
20.134,518.277,25669.829819496,,
20.342,576.075,25670.328478824,,
20.549,506.017,25670.832049256,,
20.757,513.411,,,
20.964,407.556,,,
21.172,294.767,,,
21.379,497.158,,,
21.587,420.555,,,
21.794,384.376,,,
22.002,374.559,,,
22.210,288.015,,,
22.417,425.076,,,
22.625,320.496,,,
22.832,399.909,,,
23.040,430.058,,,
23.247,570.157,,,
23.455,468.259,,,
23.663,395.758,,,
23.870,639.853,,,
24.078,528.781,,,
24.285,564.522,,,
24.493,474.972,,,
24.700,604.960,,,
24.908,540.848,,,
25.116,382.051,,,
25.323,441.722,,,
25.531,441.366,,,
25.738,427.026,,,
