Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,777.750,25762.060772456003,25768.404399108,169
0.208,912.821,25762.574140520002,,377
0.415,774.355,25763.072795752003,,
0.623,739.081,25763.57145508,,
0.830,514.968,25764.075025512,,
1.038,889.222,25764.57368484,,
1.245,727.945,25765.072340072,,
1.453,570.420,25765.570999400003,,
1.661,595.906,25766.074569832002,,
1.868,673.845,25766.573229160003,,
2.076,537.740,25768.404403304,,
2.283,570.458,25768.919082088003,,
2.491,445.261,25769.416598632,,
2.698,510.910,25769.920169064,,
2.906,568.964,25770.417685608,,
3.113,661.807,25770.91634084,,
3.321,612.058,25771.413857384003,,
3.529,565.234,25771.917427816003,,
3.736,668.522,25772.41494436,,
3.944,812.842,25772.918514792003,,
4.151,546.720,25773.416031336,,
4.359,456.345,25773.919601768,,
4.566,668.811,25774.417118312,,
4.774,471.609,25774.915773544002,,
4.982,580.154,25775.413290088003,,
5.189,637.644,25775.915717736003,,
5.397,712.540,25776.414377064,,
5.604,731.118,25776.916804712,,
5.812,617.857,25777.41546404,,
6.019,636.826,25777.917891688,,
6.227,697.781,25778.416551016002,,
6.435,784.914,25778.918978664,,
6.642,696.416,25779.417637992003,,
6.850,556.078,25779.920065640003,,
7.057,714.285,25780.413809768,,
7.265,537.012,25780.916237416,,
7.472,576.668,25781.414896744,,
7.680,671.711,25781.917324392,,
7.888,562.000,25782.415983720002,,
8.095,458.643,25782.918411368002,,
8.303,541.123,25783.417070696003,,
8.510,630.547,25783.919498344003,,
8.718,607.867,25784.413242472,,
8.925,621.402,25784.91567012,,
9.133,525.743,25785.413186664002,,
9.340,504.676,25785.916757096,,
9.548,515.162,25786.414273640003,,
9.756,542.400,25786.917844072002,,
9.963,497.048,25787.415360616,,
10.171,482.275,25787.918931048003,,
10.378,456.011,25788.416447592,,
10.586,604.730,25788.920018024,,
10.793,618.127,25789.417534568,,
11.001,880.915,25789.916189800002,,
11.209,822.830,25790.413706344003,,
11.416,666.290,25790.916133992003,,
11.624,771.413,25791.41479332,,
11.831,629.979,25791.917220968,,
12.039,565.205,25792.415880296,,
12.246,678.835,25792.918307944,,
12.454,612.692,25793.416967272,,
12.662,621.885,25793.91939492,,
12.869,510.491,25794.413139044,,
13.077,464.402,25794.915566696003,,
13.284,511.743,25795.414226024,,
13.492,453.296,25795.916653672,,
13.699,481.483,25796.415313,,
13.907,496.472,25796.917740648,,
14.115,662.666,25797.416399976002,,
14.322,679.218,25797.918827624002,,
14.530,493.765,25798.417486952003,,
14.737,432.067,25798.919914600003,,
14.945,482.524,25799.413658728,,
15.152,496.203,25799.916086376,,
15.360,516.356,25800.41360292,,
15.567,580.709,25800.917173352,,
15.775,620.779,25801.414689896003,,
15.983,603.970,25801.918260328002,,
16.190,735.266,25802.415776872003,,
16.398,768.681,25802.919347304003,,
16.605,746.044,25803.416863848,,
16.813,518.003,25803.92043428,,
17.020,507.210,25804.417950824,,
17.228,459.918,25804.916606056002,,
17.436,661.872,25805.414122600003,,
17.643,648.719,25805.916550248003,,
17.851,487.741,25806.415209576,,
18.058,488.267,25806.917637224,,
18.266,536.726,25807.416296552,,
18.473,486.650,25807.9187242,,
18.681,330.565,25808.417383528,,
18.889,384.405,25808.919811176,,
19.096,410.845,25809.413555304003,,
19.304,332.233,25809.915982952003,,
19.511,393.878,25810.41464228,,
19.719,360.782,25810.917069928,,
19.926,310.712,25811.415729256,,
20.134,314.790,25811.918156904,,
20.342,342.176,25812.416816232002,,
20.549,535.424,25812.919243880002,,
20.757,370.656,,,
20.964,414.783,,,
21.172,564.980,,,
21.379,417.661,,,
21.587,459.568,,,
21.794,304.605,,,
22.002,418.592,,,
22.210,674.061,,,
22.417,505.907,,,
22.625,582.802,,,
22.832,626.082,,,
23.040,467.039,,,
23.247,471.732,,,
23.455,590.686,,,
23.663,555.728,,,
23.870,353.096,,,
24.078,525.300,,,
24.285,446.487,,,
24.493,600.540,,,
24.700,543.117,,,
24.908,585.551,,,
25.116,554.087,,,
25.323,629.978,,,
25.531,547.474,,,
25.738,573.510,,,
25.946,559.265,,,
26.153,486.010,,,
26.361,391.443,,,
26.569,606.666,,,
26.776,491.005,,,
26.984,575.769,,,
27.191,649.094,,,
27.399,537.554,,,
27.606,365.902,,,
27.814,511.617,,,
28.021,591.749,,,
28.229,739.484,,,
28.437,502.274,,,
28.644,419.596,,,
28.852,610.401,,,
29.059,479.361,,,
29.267,642.490,,,
29.474,889.758,,,
29.682,718.300,,,
29.890,651.927,,,
30.097,634.584,,,
30.305,724.498,,,
30.512,708.550,,,
30.720,673.533,,,
30.927,547.823,,,
31.135,468.489,,,
31.343,594.265,,,
31.550,585.489,,,
31.758,594.392,,,
31.965,569.940,,,
32.173,562.299,,,
32.380,585.789,,,
32.588,549.245,,,
32.795,581.328,,,
33.003,513.151,,,
33.211,535.322,,,
33.418,486.061,,,
33.626,373.810,,,
33.833,458.769,,,
34.041,477.321,,,
34.248,475.701,,,
34.456,513.419,,,
34.664,591.160,,,
34.871,723.930,,,
35.079,644.857,,,
35.286,589.834,,,
35.494,510.717,,,
35.701,527.600,,,
35.909,491.632,,,
36.117,559.917,,,
36.324,599.486,,,
36.532,425.596,,,
36.739,500.878,,,
36.947,569.683,,,
37.154,517.090,,,
37.362,544.716,,,
37.570,618.959,,,
37.777,666.090,,,
37.985,618.426,,,
38.192,449.970,,,
38.400,507.032,,,
38.607,639.050,,,
38.815,605.807,,,
39.022,732.271,,,
39.230,628.956,,,
39.438,603.307,,,
39.645,597.117,,,
39.853,570.966,,,
40.060,498.846,,,
40.268,520.460,,,
40.475,562.567,,,
40.683,637.072,,,
40.891,523.860,,,
41.098,486.655,,,
41.306,470.358,,,
41.513,568.777,,,
41.721,465.873,,,
41.928,511.113,,,
42.136,495.761,,,
42.344,415.699,,,
42.551,356.657,,,
42.759,419.315,,,
42.966,483.957,,,
43.174,593.608,,,
43.381,480.322,,,
43.589,645.522,,,
43.797,552.519,,,
44.004,636.381,,,
44.212,591.741,,,
44.419,381.496,,,
44.627,566.189,,,
44.834,627.886,,,
45.042,427.473,,,
45.249,423.136,,,
45.457,352.161,,,
45.665,358.925,,,
45.872,447.495,,,
46.080,295.408,,,
46.287,345.812,,,
46.495,533.617,,,
46.702,471.768,,,
46.910,383.213,,,
47.118,265.828,,,
47.325,460.109,,,
47.533,607.025,,,
47.740,424.055,,,
47.948,472.076,,,
48.155,677.599,,,
48.363,770.651,,,
48.571,469.753,,,
48.778,381.374,,,
48.986,639.249,,,
49.193,431.824,,,
49.401,500.662,,,
49.608,408.640,,,
49.816,321.134,,,
50.024,453.179,,,
50.231,370.095,,,
50.439,481.439,,,
50.646,507.713,,,
50.854,555.885,,,
51.061,465.648,,,
51.269,483.485,,,
51.476,569.286,,,
51.684,620.779,,,
51.892,612.293,,,
52.099,451.648,,,
