Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,824.031,23303.018630248,23309.168540676,134
0.208,923.382,23303.527517288003,,318
0.415,894.552,23304.031087720003,,
0.623,791.015,23304.529747048,,
0.830,731.378,23305.03331748,,
1.038,1022.466,23305.531976808,,
1.245,876.512,23306.03063204,,
1.453,819.686,23306.529291368002,,
1.661,708.919,23307.032861800002,,
1.868,719.302,23307.531521128003,,
2.076,909.788,23309.168544872,,
2.283,901.538,23309.683657832,,
2.491,859.756,23310.181174376,,
2.698,731.494,23310.935420008,,
2.906,789.622,23311.202323560003,,
3.113,672.648,23311.684177000003,,
3.321,663.937,23312.177921128,,
3.529,629.362,23312.680348776,,
3.736,812.009,23313.179008104,,
3.944,908.588,23313.681435752,,
4.151,999.117,23314.180095080003,,
4.359,897.510,23314.682522728002,,
4.566,784.706,23315.181182056,,
4.774,980.336,23315.683609704003,,
4.982,756.512,23316.177353832,,
5.189,826.199,23316.67978148,,
5.397,859.362,23317.178440808002,,
5.604,743.872,23317.680868456002,,
5.812,880.454,23318.179527784003,,
6.019,537.494,23318.681955432003,,
6.227,570.004,23319.18061476,,
6.435,737.544,23319.683042408,,
6.642,589.908,23320.181701736,,
6.850,505.127,23320.684129384,,
7.057,616.235,23321.177873512002,,
7.265,506.042,23321.680301160002,,
7.472,630.928,23322.177817704003,,
7.680,776.172,23322.681388136003,,
7.888,639.988,23323.17890468,,
8.095,701.520,23323.682475112,,
8.303,620.753,23324.179991656,,
8.510,632.591,23324.683562088,,
8.718,917.084,23325.181078632002,,
8.925,691.739,23325.679733864003,,
9.133,615.867,23326.177250408,,
9.340,694.956,23326.684593256003,,
9.548,678.560,23327.1821098,,
9.756,627.647,23327.680765032,,
9.963,533.755,23328.178281576,,
10.171,795.626,23328.680709224,,
10.378,786.921,23329.179368552002,,
10.586,669.747,23329.681796200002,,
10.793,602.351,23330.180455528003,,
11.001,712.082,23330.682883176003,,
11.209,671.602,23331.181542504,,
11.416,791.893,23331.683970152,,
11.624,791.754,23332.177714280002,,
11.831,722.899,23332.680141928002,,
12.039,944.885,23333.178801256003,,
12.246,829.842,23333.681228904003,,
12.454,857.524,23334.179888232,,
12.662,1022.540,23334.68231588,,
12.869,884.081,23335.180975208,,
13.077,1221.293,23335.683402856,,
13.284,951.791,23336.182062184,,
13.492,1010.695,23336.684489832,,
13.699,862.505,23337.178233960003,,
13.907,690.016,23337.680661608003,,
14.115,828.842,23338.178178152,,
14.322,903.455,23338.681748584,,
14.530,704.673,23339.179265128,,
14.737,619.405,23339.68283556,,
14.945,514.379,23340.180352104002,,
15.152,614.620,23340.683922536,,
15.360,740.844,23341.181439080003,,
15.567,653.573,23341.680094312,,
15.775,524.478,23342.177610856,,
15.983,672.223,23342.680038504,,
16.190,614.659,23343.178697832,,
16.398,681.316,23343.68112548,,
16.605,662.299,23344.179784808002,,
16.813,778.376,23344.682212456002,,
17.020,717.888,23345.180871784003,,
17.228,615.556,23345.683299432003,,
17.436,468.841,23346.18195876,,
17.643,438.969,23346.684386408,,
17.851,486.621,23347.178130536002,,
18.058,643.975,23347.680558184,,
18.266,697.140,23348.179217512003,,
18.473,654.662,23348.681645160003,,
18.681,700.085,23349.180304488,,
18.889,667.172,23349.682732136,,
19.096,877.509,23350.181391464,,
19.304,1014.519,23350.683819112,,
19.511,1079.285,23351.177563240002,,
19.719,879.399,23351.679990888002,,
19.926,741.229,23352.177507432003,,
20.134,930.133,23352.681077864003,,
20.342,926.457,23353.178594408,,
20.549,826.794,23353.68216484,,
20.757,896.305,,,
20.964,876.445,,,
21.172,898.558,,,
21.379,767.773,,,
21.587,773.615,,,
21.794,704.465,,,
22.002,659.372,,,
22.210,593.458,,,
22.417,825.322,,,
22.625,678.082,,,
22.832,709.654,,,
23.040,727.914,,,
23.247,633.467,,,
23.455,583.621,,,
23.663,648.848,,,
23.870,670.537,,,
24.078,524.406,,,
24.285,704.483,,,
24.493,642.218,,,
24.700,730.071,,,
24.908,698.083,,,
25.116,825.680,,,
25.323,820.633,,,
25.531,707.264,,,
25.738,749.699,,,
25.946,746.730,,,
26.153,708.642,,,
26.361,733.598,,,
26.569,758.163,,,
26.776,652.940,,,
26.984,668.767,,,
27.191,582.103,,,
27.399,561.448,,,
27.606,463.737,,,
27.814,591.339,,,
28.021,637.587,,,
28.229,709.728,,,
28.437,745.620,,,
28.644,974.256,,,
28.852,695.229,,,
29.059,633.851,,,
29.267,584.828,,,
29.474,609.387,,,
29.682,589.174,,,
29.890,636.493,,,
30.097,648.364,,,
30.305,729.125,,,
30.512,684.957,,,
30.720,781.430,,,
30.927,833.601,,,
31.135,668.020,,,
31.343,636.824,,,
31.550,803.014,,,
31.758,707.265,,,
31.965,602.640,,,
32.173,624.236,,,
32.380,541.094,,,
32.588,628.150,,,
32.795,676.423,,,
33.003,658.332,,,
33.211,499.345,,,
33.418,524.780,,,
33.626,439.494,,,
33.833,448.097,,,
34.041,469.306,,,
34.248,592.035,,,
34.456,538.896,,,
34.664,628.698,,,
34.871,584.787,,,
35.079,441.926,,,
35.286,559.430,,,
35.494,685.737,,,
35.701,653.656,,,
35.909,696.879,,,
36.117,695.681,,,
36.324,778.272,,,
36.532,742.072,,,
36.739,765.022,,,
36.947,725.714,,,
37.154,646.086,,,
37.362,576.012,,,
37.570,549.584,,,
37.777,631.742,,,
37.985,682.819,,,
38.192,673.279,,,
38.400,694.322,,,
38.607,707.543,,,
38.815,667.198,,,
39.022,652.148,,,
39.230,832.532,,,
39.438,912.213,,,
39.645,820.691,,,
39.853,611.010,,,
40.060,514.767,,,
40.268,567.000,,,
40.475,644.290,,,
40.683,607.058,,,
40.891,574.186,,,
41.098,451.333,,,
41.306,565.876,,,
41.513,615.901,,,
41.721,646.706,,,
41.928,621.280,,,
42.136,609.317,,,
42.344,663.940,,,
42.551,828.530,,,
42.759,839.228,,,
42.966,578.164,,,
43.174,590.311,,,
43.381,714.655,,,
43.589,683.768,,,
43.797,493.758,,,
44.004,550.495,,,
44.212,640.442,,,
44.419,738.953,,,
44.627,607.525,,,
44.834,549.882,,,
45.042,493.096,,,
45.249,553.545,,,
45.457,644.181,,,
45.665,638.796,,,
45.872,765.134,,,
46.080,671.907,,,
46.287,585.031,,,
46.495,569.294,,,
46.702,787.654,,,
46.910,854.395,,,
47.118,761.221,,,
47.325,832.114,,,
47.533,736.285,,,
47.740,687.881,,,
47.948,816.660,,,
48.155,671.959,,,
48.363,487.254,,,
48.571,442.772,,,
48.778,590.806,,,
48.986,584.210,,,
49.193,547.662,,,
49.401,641.410,,,
49.608,577.858,,,
49.816,520.143,,,
50.024,747.909,,,
50.231,635.255,,,
50.439,727.753,,,
50.646,857.336,,,
50.854,1164.655,,,
51.061,1620.454,,,
51.269,1377.744,,,
51.476,1293.627,,,
51.684,1135.045,,,
51.892,874.291,,,
52.099,684.916,,,
52.307,645.150,,,
52.514,624.020,,,
52.722,755.845,,,
52.929,754.193,,,
53.137,716.088,,,
53.345,608.800,,,
53.552,706.715,,,
53.760,746.553,,,
53.967,743.531,,,
54.175,716.608,,,
54.382,642.643,,,
54.590,619.883,,,
54.798,613.372,,,
55.005,681.656,,,
55.213,647.770,,,
55.420,600.280,,,
55.628,616.037,,,
55.835,646.435,,,
56.043,727.083,,,
56.251,669.941,,,
56.458,691.408,,,
56.666,745.878,,,
56.873,792.146,,,
57.081,690.139,,,
57.288,585.626,,,
57.496,617.265,,,
57.703,549.317,,,
57.911,640.813,,,
58.119,768.123,,,
58.326,749.558,,,
58.534,759.397,,,
58.741,725.296,,,
58.949,765.862,,,
59.156,678.779,,,
59.364,861.352,,,
59.572,959.672,,,
59.779,841.323,,,
59.987,854.238,,,
60.194,678.213,,,
60.402,559.183,,,
60.609,543.600,,,
60.817,480.276,,,
61.025,592.676,,,
61.232,876.105,,,
61.440,965.001,,,
61.647,900.428,,,
61.855,888.972,,,
62.062,890.511,,,
62.270,794.334,,,
62.478,627.603,,,
62.685,536.308,,,
62.893,541.529,,,
63.100,593.182,,,
63.308,565.280,,,
63.515,630.756,,,
63.723,689.054,,,
63.930,622.040,,,
64.138,621.290,,,
64.346,749.823,,,
64.553,692.576,,,
64.761,618.131,,,
64.968,516.178,,,
65.176,553.821,,,
65.383,653.300,,,
65.591,655.301,,,
65.799,672.983,,,
66.006,757.643,,,
66.214,638.047,,,
66.421,523.845,,,
66.629,630.131,,,
66.836,520.622,,,
67.044,505.417,,,
67.252,577.431,,,
67.459,560.386,,,
67.667,570.781,,,
67.874,706.040,,,
68.082,618.445,,,
68.289,517.203,,,
68.497,553.114,,,
68.704,648.312,,,
68.912,572.617,,,
69.120,435.208,,,
69.327,391.455,,,
69.535,448.242,,,
69.742,500.941,,,
69.950,460.054,,,
70.157,481.148,,,
70.365,463.207,,,
70.573,656.715,,,
70.780,712.395,,,
70.988,500.429,,,
71.195,559.930,,,
71.403,710.529,,,
71.610,691.707,,,
71.818,666.948,,,
72.026,768.633,,,
72.233,696.813,,,
72.441,578.817,,,
72.648,583.183,,,
72.856,566.875,,,
73.063,571.044,,,
73.271,576.397,,,
73.479,549.827,,,
73.686,634.984,,,
73.894,570.259,,,
74.101,580.143,,,
74.309,588.710,,,
74.516,670.092,,,
74.724,691.338,,,
74.931,581.637,,,
75.139,652.729,,,
75.347,720.479,,,
75.554,561.953,,,
75.762,644.100,,,
75.969,653.937,,,
76.177,566.766,,,
76.384,503.786,,,
76.592,460.212,,,
76.800,561.001,,,
77.007,598.235,,,
77.215,570.188,,,
77.422,555.976,,,
77.630,596.893,,,
77.837,722.364,,,
78.045,635.486,,,
78.253,532.766,,,
78.460,569.431,,,
78.668,553.907,,,
78.875,528.091,,,
79.083,542.022,,,
79.290,672.399,,,
79.498,583.695,,,
79.706,560.212,,,
79.913,680.560,,,
80.121,605.927,,,
80.328,437.428,,,
80.536,448.184,,,
80.743,575.480,,,
80.951,524.957,,,
81.158,610.424,,,
81.366,586.878,,,
81.574,484.506,,,
81.781,520.229,,,
81.989,419.213,,,
82.196,448.945,,,
82.404,505.239,,,
82.611,656.775,,,
82.819,775.056,,,
83.027,672.104,,,
83.234,458.456,,,
83.442,440.377,,,
83.649,567.797,,,
83.857,596.205,,,
84.064,628.048,,,
84.272,518.327,,,
84.480,532.867,,,
84.687,587.201,,,
84.895,465.908,,,
85.102,404.320,,,
85.310,405.118,,,
85.517,441.098,,,
85.725,577.865,,,
85.933,621.311,,,
86.140,546.542,,,
86.348,502.500,,,
86.555,394.631,,,
86.763,403.705,,,
86.970,460.508,,,
87.178,471.038,,,
87.385,472.340,,,
87.593,451.050,,,
87.801,552.840,,,
88.008,569.969,,,
88.216,401.963,,,
,722.586,,,
,918.148,,,
,962.636,,,
,1157.390,,,
,1159.991,,,
,864.259,,,
,1018.110,,,
,808.589,,,
,1073.068,,,
,874.935,,,
,865.285,,,
,767.837,,,
,651.315,,,
,732.506,,,
,696.136,,,
,928.790,,,
,893.787,,,
,578.971,,,
,760.578,,,
,929.958,,,
,651.493,,,
,968.741,,,
,857.736,,,
,978.787,,,
,690.737,,,
,798.409,,,
,981.241,,,
,871.846,,,
,778.640,,,
,717.593,,,
,593.584,,,
,525.213,,,
,499.186,,,
,521.449,,,
,516.269,,,
,522.167,,,
,605.655,,,
,518.910,,,
,637.570,,,
,772.909,,,
,730.524,,,
,579.534,,,
,605.584,,,
,647.696,,,
,597.849,,,
,926.093,,,
,752.143,,,
,920.246,,,
,543.196,,,
,623.692,,,
,718.967,,,
,665.413,,,
,685.727,,,
,818.720,,,
,748.229,,,
,728.213,,,
,870.636,,,
,718.825,,,
,703.933,,,
,879.495,,,
,843.154,,,
,838.874,,,
,963.033,,,
,827.738,,,
,974.380,,,
,763.542,,,
,1068.205,,,
,1137.181,,,
,941.133,,,
,769.925,,,
,818.684,,,
,694.937,,,
,632.641,,,
,619.654,,,
,537.247,,,
,630.158,,,
,605.341,,,
,605.877,,,
,635.391,,,
,684.901,,,
,662.416,,,
,758.757,,,
,661.589,,,
,631.325,,,
,675.610,,,
,635.743,,,
,605.022,,,
,496.496,,,
,608.800,,,
,675.890,,,
,549.122,,,
,545.166,,,
,733.651,,,
,932.379,,,
,926.928,,,
,790.780,,,
,902.507,,,
,1103.684,,,
,1288.149,,,
,1141.578,,,
,973.011,,,
,715.091,,,
,648.419,,,
,827.721,,,
,756.605,,,
,554.588,,,
,470.741,,,
,531.508,,,
,638.237,,,
,673.366,,,
,669.130,,,
,614.978,,,
,583.072,,,
,562.851,,,
,546.034,,,
,682.899,,,
,579.888,,,
,609.250,,,
,602.004,,,
,718.217,,,
,794.491,,,
,834.933,,,
,776.833,,,
,773.671,,,
,630.391,,,
,479.086,,,
,611.812,,,
,659.619,,,
,673.565,,,
,647.734,,,
,488.026,,,
,572.191,,,
,563.077,,,
,554.026,,,
,586.197,,,
,699.726,,,
,789.699,,,
,732.795,,,
,700.070,,,
,577.356,,,
,700.223,,,
,752.948,,,
,801.218,,,
,643.137,,,
,590.249,,,
,734.959,,,
,800.301,,,
,893.174,,,
,862.859,,,
,807.348,,,
,711.975,,,
,653.149,,,
,777.385,,,
,782.594,,,
,630.416,,,
,576.864,,,
,671.913,,,
,689.609,,,
,569.565,,,
,525.346,,,
,596.680,,,
,540.420,,,
,460.908,,,
,496.206,,,
,516.865,,,
,432.472,,,
,468.839,,,
,562.677,,,
,660.062,,,
,673.242,,,
,494.091,,,
,585.680,,,
,682.162,,,
,620.483,,,
,629.497,,,
,648.687,,,
,691.396,,,
,709.448,,,
,760.192,,,
,618.145,,,
,707.967,,,
,697.526,,,
,585.772,,,
,633.595,,,
,624.233,,,
,576.255,,,
,658.658,,,
,800.236,,,
,759.822,,,
,696.399,,,
,768.364,,,
,589.984,,,
,612.551,,,
,811.068,,,
,691.510,,,
,658.535,,,
,628.747,,,
,526.234,,,
,545.034,,,
,535.960,,,
,676.692,,,
,887.648,,,
,771.914,,,
,671.068,,,
,728.166,,,
,778.176,,,
,718.684,,,
,740.976,,,
,620.911,,,
,594.180,,,
,626.117,,,
,601.719,,,
,642.848,,,
,606.314,,,
,472.531,,,
,553.333,,,
,631.732,,,
,659.089,,,
,662.134,,,
,775.099,,,
,691.505,,,
,666.154,,,
,678.725,,,
,549.915,,,
,451.940,,,
,636.261,,,
,732.950,,,
,561.466,,,
,554.635,,,
,671.963,,,
,592.225,,,
,660.134,,,
,807.928,,,
,714.218,,,
,686.740,,,
,772.022,,,
,685.822,,,
,734.867,,,
,724.476,,,
,783.502,,,
,644.834,,,
,599.078,,,
,609.474,,,
,641.774,,,
,857.820,,,
,934.752,,,
,1072.303,,,
,1263.559,,,
,1260.903,,,
,1052.121,,,
,915.392,,,
,772.953,,,
,578.704,,,
,541.867,,,
,596.424,,,
,722.127,,,
,593.785,,,
,665.138,,,
,627.529,,,
,502.657,,,
,558.768,,,
,738.100,,,
,796.563,,,
,748.538,,,
,729.675,,,
,829.786,,,
,848.625,,,
,734.078,,,
,602.140,,,
,540.158,,,
,566.428,,,
,728.038,,,
,602.521,,,
,558.055,,,
,659.400,,,
,655.488,,,
,642.006,,,
,740.494,,,
,699.413,,,
,610.805,,,
,651.615,,,
,641.608,,,
,575.810,,,
,672.004,,,
,652.656,,,
,669.534,,,
,593.729,,,
,630.077,,,
,750.486,,,
,705.768,,,
,638.920,,,
,666.383,,,
,592.931,,,
,469.825,,,
,671.884,,,
,802.768,,,
,575.112,,,
,494.077,,,
,631.692,,,
,747.326,,,
,1015.694,,,
,885.283,,,
,716.779,,,
,738.693,,,
,723.262,,,
,633.825,,,
,658.274,,,
,763.332,,,
,706.070,,,
,711.602,,,
,834.093,,,
,760.562,,,
,631.640,,,
,602.655,,,
,650.671,,,
,524.871,,,
,516.723,,,
,631.711,,,
,536.758,,,
,596.121,,,
,565.543,,,
,505.250,,,
,669.412,,,
,610.799,,,
,568.860,,,
,455.786,,,
,416.540,,,
,425.120,,,
,335.679,,,
,499.393,,,
,593.133,,,
,441.949,,,
,546.522,,,
,537.721,,,
,520.448,,,
,407.069,,,
,372.937,,,
,355.215,,,
,506.244,,,
,685.024,,,
,536.858,,,
,455.612,,,
,551.273,,,
,586.058,,,
,510.759,,,
,421.073,,,
,493.462,,,
,605.106,,,
,731.093,,,
,630.367,,,
,564.980,,,
,555.553,,,
,662.849,,,
,664.774,,,
,699.302,,,
,604.137,,,
,632.367,,,
,605.605,,,
,622.465,,,
,652.595,,,
,528.889,,,
,614.667,,,
,613.089,,,
,557.182,,,
,591.213,,,
,565.364,,,
,502.589,,,
,581.877,,,
,601.443,,,
,623.050,,,
,653.285,,,
,560.578,,,
,535.943,,,
,537.482,,,
,595.660,,,
,635.757,,,
,618.444,,,
,653.833,,,
,625.090,,,
,533.984,,,
,584.421,,,
,640.971,,,
,695.163,,,
,586.276,,,
,583.607,,,
,557.280,,,
,539.987,,,
,609.026,,,
,542.681,,,
,454.580,,,
,429.062,,,
,481.195,,,
,526.409,,,
,517.720,,,
,647.114,,,
,620.488,,,
,510.406,,,
,505.144,,,
,510.753,,,
,666.323,,,
,606.909,,,
,526.265,,,
,468.791,,,
,545.517,,,
,646.476,,,
,631.129,,,
,516.876,,,
,430.843,,,
,406.845,,,
,383.838,,,
,477.887,,,
,449.090,,,
,469.178,,,
,511.270,,,
,482.562,,,
,462.370,,,
,442.033,,,
,458.687,,,
,555.586,,,
,534.301,,,
,402.160,,,
,373.070,,,
,423.044,,,
,387.531,,,
,359.256,,,
,452.298,,,
,689.917,,,
,1007.535,,,
,1050.301,,,
,1067.257,,,
,799.922,,,
,744.350,,,
,1158.458,,,
,841.167,,,
,970.599,,,
,1010.068,,,
,655.862,,,
,822.343,,,
,1109.482,,,
,767.764,,,
,767.792,,,
,964.478,,,
,1218.996,,,
,755.374,,,
,792.447,,,
,791.744,,,
,633.086,,,
,822.500,,,
,784.630,,,
,979.043,,,
,776.515,,,
,923.679,,,
,1021.574,,,
,823.806,,,
,699.868,,,
,693.780,,,
,661.220,,,
,729.949,,,
,576.540,,,
,622.118,,,
,754.713,,,
,645.750,,,
,707.177,,,
,859.299,,,
,819.445,,,
,912.960,,,
,529.802,,,
,547.992,,,
,639.367,,,
,595.856,,,
,763.265,,,
,615.890,,,
,792.782,,,
,703.220,,,
,761.038,,,
,858.276,,,
,607.020,,,
,623.125,,,
,562.018,,,
,644.995,,,
,480.971,,,
,646.651,,,
,794.027,,,
,695.650,,,
,641.868,,,
,822.916,,,
,933.497,,,
,957.520,,,
,804.855,,,
,893.620,,,
,817.536,,,
,640.534,,,
,918.827,,,
,911.218,,,
,905.584,,,
,841.141,,,
,683.540,,,
,625.642,,,
,688.864,,,
,898.878,,,
,688.020,,,
,549.935,,,
,495.601,,,
,433.906,,,
,615.347,,,
,545.875,,,
,614.918,,,
,793.562,,,
,669.400,,,
,710.110,,,
,662.529,,,
,660.559,,,
,581.923,,,
,660.894,,,
,683.396,,,
,593.280,,,
,590.442,,,
,602.573,,,
,699.309,,,
,782.054,,,
,811.596,,,
,812.421,,,
,732.517,,,
,948.423,,,
,1231.930,,,
,1004.273,,,
,875.030,,,
,832.358,,,
,875.324,,,
,864.369,,,
,853.436,,,
,631.147,,,
,628.090,,,
,745.894,,,
,632.299,,,
,545.595,,,
,606.726,,,
,742.110,,,
,713.789,,,
,820.213,,,
,602.751,,,
,616.630,,,
,629.080,,,
,666.572,,,
,553.988,,,
,756.519,,,
,664.677,,,
,658.978,,,
,688.983,,,
,698.363,,,
,645.714,,,
,506.769,,,
,625.853,,,
,776.304,,,
,683.336,,,
,596.370,,,
,477.878,,,
,534.226,,,
,462.092,,,
,394.094,,,
,437.236,,,
,669.177,,,
,634.676,,,
,783.919,,,
,790.107,,,
,683.929,,,
,473.381,,,
,417.514,,,
,551.758,,,
,626.013,,,
,772.777,,,
,671.809,,,
,829.191,,,
,687.415,,,
,544.984,,,
,690.652,,,
,784.292,,,
,686.134,,,
,624.357,,,
,662.635,,,
,628.751,,,
,783.398,,,
,702.308,,,
,666.077,,,
,710.654,,,
,680.384,,,
,481.092,,,
,540.516,,,
,596.066,,,
,471.095,,,
,530.805,,,
,542.844,,,
,510.265,,,
,654.193,,,
,665.369,,,
,505.914,,,
,583.189,,,
,508.526,,,
,603.140,,,
,654.590,,,
,684.609,,,
,712.048,,,
,662.677,,,
,465.043,,,
,425.603,,,
,541.996,,,
,552.629,,,
,657.354,,,
,735.851,,,
,623.899,,,
,808.883,,,
,789.900,,,
,583.079,,,
,757.084,,,
,718.501,,,
,690.032,,,
,737.326,,,
,798.061,,,
,652.999,,,
,673.418,,,
,652.802,,,
,709.380,,,
,669.619,,,
,647.801,,,
,584.921,,,
,608.918,,,
,575.647,,,
,604.577,,,
,661.802,,,
,598.357,,,
,653.655,,,
,554.476,,,
,538.259,,,
,466.700,,,
,527.022,,,
,519.363,,,
,472.725,,,
,531.846,,,
,476.305,,,
,450.379,,,
,511.120,,,
,484.154,,,
,524.668,,,
,624.663,,,
,768.172,,,
,617.022,,,
,572.219,,,
,821.021,,,
,671.793,,,
,675.060,,,
,631.547,,,
,614.463,,,
,685.290,,,
,693.106,,,
,523.791,,,
,642.652,,,
,674.363,,,
,704.901,,,
,768.325,,,
,732.566,,,
,793.887,,,
,732.007,,,
,691.327,,,
,571.483,,,
,567.584,,,
,525.298,,,
,544.012,,,
,579.514,,,
,619.011,,,
,719.069,,,
,874.742,,,
,988.247,,,
,1297.152,,,
,1330.623,,,
,1009.764,,,
,922.078,,,
,706.941,,,
,692.635,,,
,851.858,,,
,732.575,,,
,572.612,,,
,483.239,,,
,458.131,,,
,415.930,,,
,467.448,,,
,615.118,,,
,712.155,,,
,665.232,,,
,484.523,,,
,562.668,,,
,765.881,,,
,715.046,,,
,673.167,,,
,693.995,,,
,740.245,,,
,761.594,,,
,794.585,,,
,742.667,,,
,690.265,,,
,595.334,,,
,601.348,,,
,675.646,,,
,590.353,,,
,604.154,,,
,625.995,,,
,737.314,,,
,748.362,,,
,641.664,,,
,421.773,,,
,564.336,,,
,612.717,,,
,738.057,,,
,843.747,,,
,782.559,,,
,716.241,,,
,769.584,,,
,628.917,,,
,805.926,,,
,706.780,,,
,583.308,,,
,581.432,,,
,553.832,,,
,720.998,,,
,712.623,,,
,744.741,,,
,727.782,,,
,675.313,,,
,771.965,,,
,767.314,,,
,826.090,,,
,729.101,,,
,699.266,,,
,700.874,,,
,777.928,,,
,749.645,,,
,666.715,,,
,623.770,,,
,637.676,,,
,654.107,,,
,613.197,,,
,606.084,,,
,501.118,,,
,458.214,,,
,469.127,,,
,598.916,,,
,647.393,,,
,612.507,,,
,593.613,,,
,522.103,,,
,529.708,,,
,463.739,,,
,552.353,,,
,647.118,,,
,626.682,,,
,592.808,,,
,497.890,,,
,622.658,,,
,491.123,,,
,419.491,,,
,397.413,,,
,373.368,,,
,425.150,,,
,474.198,,,
,527.568,,,
,494.446,,,
,575.328,,,
,516.374,,,
,597.373,,,
,663.445,,,
,573.664,,,
,575.080,,,
,548.119,,,
,552.596,,,
,666.314,,,
,590.882,,,
,613.098,,,
,561.614,,,
,533.813,,,
,602.288,,,
,523.284,,,
,594.345,,,
,610.635,,,
,493.210,,,
,553.828,,,
,594.603,,,
,612.636,,,
,669.515,,,
,563.111,,,
,614.695,,,
,627.783,,,
