Positionarray,Intensity,Time,Bleachtimepoint,Bounds
0.000,1319.493,24177.549183080002,24183.902881796002,103
0.208,1419.135,24178.062948456,,311
0.415,1279.360,24178.55837604,,
0.623,1618.491,24179.061172328,,
0.830,1392.153,24179.561515112,,
1.038,1459.608,24180.063168616,,
1.245,1395.047,24180.5585962,,
1.453,1097.321,24181.061392488,,
1.661,1311.862,24181.560592488,,
1.868,1454.350,24182.063388776,,
2.076,1362.995,24183.902885992,,
2.283,1093.909,24184.411912296,,
2.491,1034.440,24184.915482728,,
2.698,1381.844,24185.414142056,,
2.906,1133.636,24185.917712488,,
3.113,1183.011,24186.416371816,,
3.321,1081.027,24186.918799464,,
3.529,1081.677,24187.412543592003,,
3.736,1140.440,24187.916114024003,,
3.944,1165.830,24188.414773352,,
4.151,1264.373,24188.918343784,,
4.359,1378.422,24189.412087912002,,
4.566,1009.628,24189.915658344,,
4.774,1021.291,24190.413174888003,,
4.982,1156.134,24190.916745320003,,
5.189,1015.414,24191.415404648,,
5.397,979.762,24191.91405988,,
5.604,1194.082,24192.411576424,,
5.812,1202.622,24192.915146856,,
6.019,1221.558,24193.412663400002,,
6.227,1049.062,24193.916233832002,,
6.435,1289.844,24194.413750376003,,
6.642,1128.667,24194.917320808003,,
6.850,1273.191,24195.414837352,,
7.057,1406.544,24195.918407784,,
7.265,1302.867,24196.415924328,,
7.472,1227.319,24196.91457956,,
7.680,1034.146,24197.413238888003,,
7.888,1341.422,24197.915666536002,,
8.095,1071.685,24198.414325864,,
8.303,1153.337,24198.916753512003,,
8.510,1284.815,24199.41541284,,
8.718,1319.695,24199.917840488,,
8.925,1192.871,24200.411584616002,,
9.133,1435.404,24200.915155048002,,
9.340,1247.589,24201.413814376003,,
9.548,1626.220,24201.917384808003,,
9.756,1512.488,24202.416044136,,
9.963,1286.329,24202.918471784,,
10.171,1588.747,24203.412215912,,
10.378,1415.784,24203.915786344,,
10.586,1392.034,24204.414445672002,,
10.793,1359.641,24204.918016104002,,
11.001,1123.950,24205.411760232,,
11.209,1164.557,24205.915330664,,
11.416,937.679,24206.412847208,,
11.624,1161.566,24206.91641764,,
11.831,1059.182,24207.415076968,,
12.039,1165.588,24207.9186474,,
12.246,1274.384,24208.412391528,,
12.454,1210.215,24208.915961960003,,
12.662,885.684,24209.413478504,,
12.869,1140.943,24209.917048936,,
13.077,1230.815,24210.41456548,,
13.284,1418.965,24210.918135912,,
13.492,1387.556,24211.415652456002,,
13.699,1429.400,24211.914307688003,,
13.907,1045.198,24212.412967016,,
14.115,1379.233,24212.915394664,,
14.322,1306.220,24213.414053992,,
14.530,1459.019,24213.91648164,,
14.737,1439.390,24214.415140968,,
14.945,1216.765,24214.917568616,,
15.152,1184.821,24215.416227944002,,
15.360,1309.178,24215.918655592002,,
15.567,1208.651,24216.41239972,,
15.775,1287.449,24216.915970152,,
15.983,1309.038,24217.41462948,,
16.190,1443.609,24217.917057128,,
16.398,1322.636,24218.415716456002,,
16.605,1265.149,24218.918144104002,,
16.813,1217.678,24219.411888232,,
17.020,1133.412,24219.915458664,,
17.228,1075.883,24220.414117992,,
17.436,1392.070,24220.917688424,,
17.643,1353.139,24221.416347752,,
17.851,1124.062,24221.915002984002,,
18.058,984.673,24222.413662312003,,
18.266,1060.986,24222.917232744003,,
18.473,1162.313,24223.415892072,,
18.681,1205.227,24223.914547304,,
18.889,1110.988,24224.412063848,,
19.096,1189.560,24224.91563428,,
19.304,1164.933,24225.413150824003,,
19.511,1051.297,24225.916721256002,,
19.719,979.188,24226.414237800003,,
19.926,1363.852,24226.917808232003,,
20.134,1052.059,24227.415324776,,
20.342,1034.854,24227.918895208,,
20.549,1065.975,24228.416411752,,
20.757,1392.053,,,
20.964,1343.953,,,
21.172,1133.631,,,
21.379,1239.901,,,
21.587,1256.169,,,
21.794,1325.695,,,
22.002,1295.720,,,
22.210,1389.654,,,
22.417,1304.616,,,
22.625,1323.170,,,
22.832,1226.699,,,
23.040,1392.425,,,
23.247,1251.422,,,
23.455,1105.144,,,
23.663,1163.013,,,
23.870,1099.453,,,
24.078,984.377,,,
24.285,1132.888,,,
24.493,1241.671,,,
24.700,1089.312,,,
24.908,902.908,,,
25.116,774.909,,,
25.323,1047.886,,,
25.531,1303.005,,,
25.738,1011.040,,,
25.946,906.175,,,
26.153,1028.808,,,
26.361,1214.964,,,
26.569,1009.524,,,
26.776,1116.379,,,
26.984,1221.269,,,
27.191,1414.826,,,
27.399,1064.615,,,
27.606,997.472,,,
27.814,938.898,,,
28.021,1273.486,,,
28.229,1353.779,,,
28.437,1348.568,,,
28.644,1151.863,,,
28.852,903.051,,,
29.059,1029.588,,,
29.267,1087.187,,,
29.474,1175.430,,,
29.682,1168.841,,,
29.890,1091.024,,,
30.097,1067.037,,,
30.305,1057.459,,,
30.512,1029.579,,,
30.720,1145.371,,,
30.927,1245.432,,,
31.135,1251.363,,,
31.343,1234.551,,,
31.550,1274.250,,,
31.758,1235.007,,,
31.965,1171.840,,,
32.173,1122.868,,,
32.380,1317.038,,,
32.588,1128.927,,,
32.795,1050.881,,,
33.003,1101.666,,,
33.211,1244.935,,,
33.418,1235.771,,,
33.626,1321.525,,,
33.833,1443.949,,,
34.041,1252.572,,,
34.248,1198.730,,,
34.456,1345.757,,,
34.664,1324.533,,,
34.871,1248.413,,,
35.079,996.175,,,
35.286,1068.859,,,
35.494,1174.131,,,
35.701,1095.912,,,
35.909,1287.035,,,
36.117,1252.027,,,
36.324,1296.412,,,
36.532,1561.786,,,
36.739,1817.782,,,
36.947,1711.160,,,
37.154,1642.307,,,
37.362,1209.014,,,
37.570,1087.292,,,
37.777,1176.140,,,
37.985,1175.323,,,
38.192,1396.564,,,
38.400,1305.578,,,
38.607,1170.092,,,
38.815,1212.362,,,
39.022,1224.794,,,
39.230,1336.752,,,
39.438,1032.782,,,
39.645,968.137,,,
39.853,1233.511,,,
40.060,1222.775,,,
40.268,1364.883,,,
40.475,1395.584,,,
40.683,1242.658,,,
40.891,1194.912,,,
41.098,1332.147,,,
41.306,1362.819,,,
41.513,1172.655,,,
41.721,1072.333,,,
41.928,1089.842,,,
42.136,1000.560,,,
42.344,971.553,,,
42.551,814.768,,,
42.759,1046.741,,,
42.966,885.046,,,
43.174,955.196,,,
43.381,907.637,,,
43.589,923.506,,,
43.797,1124.027,,,
44.004,1354.527,,,
44.212,1093.580,,,
44.419,1217.284,,,
44.627,1471.027,,,
44.834,2043.611,,,
45.042,1904.350,,,
45.249,1735.153,,,
45.457,1784.513,,,
45.665,1826.508,,,
45.872,1831.160,,,
46.080,1843.204,,,
46.287,1661.780,,,
46.495,1726.985,,,
46.702,1507.613,,,
46.910,1243.870,,,
47.118,1030.465,,,
47.325,1090.878,,,
47.533,976.522,,,
47.740,1044.981,,,
47.948,1046.889,,,
48.155,768.142,,,
48.363,899.751,,,
48.571,1044.188,,,
48.778,1125.301,,,
48.986,1168.535,,,
49.193,1286.032,,,
49.401,1143.307,,,
49.608,1094.545,,,
49.816,1001.108,,,
